idx,params_1,params_2,params_3,fitness,gen
0,33.0,46.0,31.0,0.1822,1.0
1,48.0,45.0,4.0,0.1835,1.0
2,41.0,45.0,43.0,0.184,1.0
3,33.0,22.0,13.0,0.1877,1.0
4,28.0,43.0,17.0,0.198,1.0
5,46.0,20.0,31.0,0.1947,1.0
6,41.0,33.0,16.0,0.1776,1.0
7,43.0,17.0,27.0,0.2095,1.0
8,46.0,19.0,17.0,0.2032,1.0
9,36.0,16.0,6.0,0.2791,1.0
10,33.0,46.0,31.0,0.1822,1.0
11,43.0,33.0,20.0,0.2013,1.0
12,37.0,17.0,10.0,0.2141,1.0
13,41.0,45.0,43.0,0.184,1.0
14,16.0,31.0,42.0,0.327,1.0
15,25.0,27.0,36.0,0.2322,1.0
16,46.0,20.0,24.0,0.1993,1.0
17,37.0,20.0,4.0,0.2172,1.0
18,36.0,16.0,18.0,0.2361,1.0
19,22.0,25.0,14.0,0.2626,1.0
20,30.0,33.0,40.0,0.2026,1.0
21,47.0,38.0,11.0,0.1825,1.0
22,14.0,48.0,39.0,0.3119,1.0
23,48.0,45.0,4.0,0.1835,1.0
24,22.0,16.0,18.0,0.2804,1.0
25,24.0,49.0,9.0,0.2218,1.0
26,28.0,38.0,31.0,0.1965,1.0
27,19.0,33.0,11.0,0.286,1.0
28,14.0,50.0,44.0,0.3153,1.0
29,23.0,24.0,20.0,0.2433,1.0
0,41.0,33.0,16.0,0.1776,2.0
1,41.0,46.0,31.0,0.171,2.0
2,41.0,45.0,43.0,0.184,2.0
3,47.0,46.0,31.0,0.1651,2.0
4,48.0,45.0,4.0,0.1835,2.0
5,48.0,45.0,4.0,0.1835,2.0
6,41.0,33.0,16.0,0.1776,2.0
7,41.0,45.0,43.0,0.184,2.0
8,33.0,22.0,13.0,0.1877,2.0
9,36.0,16.0,6.0,0.2791,2.0
10,33.0,46.0,31.0,0.1822,2.0
11,28.0,38.0,31.0,0.1965,2.0
12,49.0,20.0,24.0,0.1856,2.0
13,41.0,45.0,43.0,0.184,2.0
14,30.0,19.0,17.0,0.2119,2.0
15,46.0,33.0,40.0,0.1928,2.0
16,46.0,20.0,24.0,0.1993,2.0
17,37.0,17.0,10.0,0.2141,2.0
18,37.0,49.0,4.0,0.1775,2.0
19,24.0,49.0,9.0,0.2218,2.0
20,30.0,33.0,40.0,0.2026,2.0
21,47.0,38.0,11.0,0.1825,2.0
22,23.0,24.0,10.0,0.2392,2.0
23,48.0,45.0,4.0,0.1835,2.0
24,36.0,16.0,10.0,0.2709,2.0
25,24.0,49.0,9.0,0.2218,2.0
26,28.0,38.0,31.0,0.1965,2.0
27,19.0,33.0,11.0,0.286,2.0
28,14.0,50.0,44.0,0.3153,2.0
29,48.0,31.0,29.0,0.1881,2.0
0,47.0,46.0,31.0,0.1651,3.0
1,41.0,46.0,31.0,0.171,3.0
2,37.0,50.0,4.0,0.18,3.0
3,47.0,46.0,31.0,0.1651,3.0
4,48.0,45.0,4.0,0.1835,3.0
5,33.0,46.0,31.0,0.1822,3.0
6,41.0,33.0,16.0,0.1776,3.0
7,48.0,45.0,11.0,0.1615,3.0
8,48.0,45.0,30.0,0.1632,3.0
9,48.0,45.0,4.0,0.1835,3.0
10,33.0,46.0,31.0,0.1822,3.0
11,41.0,45.0,43.0,0.184,3.0
12,41.0,45.0,43.0,0.184,3.0
13,41.0,45.0,43.0,0.184,3.0
14,33.0,22.0,13.0,0.1877,3.0
15,48.0,31.0,29.0,0.1881,3.0
16,46.0,33.0,40.0,0.1928,3.0
17,28.0,38.0,31.0,0.1965,3.0
18,34.0,43.0,31.0,0.1721,3.0
19,46.0,20.0,24.0,0.1993,3.0
20,30.0,33.0,40.0,0.2026,3.0
21,47.0,38.0,11.0,0.1825,3.0
22,37.0,17.0,10.0,0.2141,3.0
23,48.0,45.0,4.0,0.1835,3.0
24,36.0,16.0,10.0,0.2709,3.0
25,24.0,49.0,9.0,0.2218,3.0
26,40.0,31.0,10.0,0.1341,3.0
27,36.0,16.0,6.0,0.2791,3.0
28,19.0,45.0,34.0,0.276,3.0
29,48.0,31.0,29.0,0.1881,3.0
0,40.0,22.0,10.0,0.1382,4.0
1,48.0,45.0,11.0,0.1615,4.0
2,37.0,50.0,4.0,0.18,4.0
3,47.0,46.0,31.0,0.1651,4.0
4,47.0,46.0,31.0,0.1651,4.0
5,41.0,46.0,31.0,0.171,4.0
6,34.0,43.0,31.0,0.1721,4.0
7,48.0,45.0,11.0,0.1615,4.0
8,48.0,45.0,30.0,0.1632,4.0
9,33.0,46.0,31.0,0.1822,4.0
10,33.0,46.0,31.0,0.1822,4.0
11,47.0,38.0,11.0,0.1825,4.0
12,41.0,45.0,43.0,0.184,4.0
13,48.0,45.0,4.0,0.1835,4.0
14,48.0,45.0,43.0,0.1657,4.0
15,41.0,45.0,4.0,0.1752,4.0
16,41.0,45.0,43.0,0.184,4.0
17,41.0,28.0,43.0,0.1957,4.0
18,34.0,43.0,31.0,0.1721,4.0
19,48.0,31.0,29.0,0.1881,4.0
20,48.0,31.0,29.0,0.1881,4.0
21,47.0,38.0,11.0,0.1825,4.0
22,28.0,43.0,31.0,0.1993,4.0
23,48.0,45.0,4.0,0.1835,4.0
24,30.0,17.0,10.0,0.2115,4.0
25,37.0,33.0,40.0,0.1872,4.0
26,40.0,31.0,10.0,0.1341,4.0
27,36.0,49.0,9.0,0.1826,4.0
28,19.0,45.0,34.0,0.276,4.0
29,48.0,31.0,29.0,0.1881,4.0
0,40.0,31.0,10.0,0.1341,5.0
1,48.0,45.0,11.0,0.1615,5.0
2,48.0,45.0,11.0,0.1615,5.0
3,47.0,46.0,31.0,0.1651,5.0
4,48.0,45.0,30.0,0.1632,5.0
5,47.0,46.0,31.0,0.1651,5.0
6,47.0,46.0,31.0,0.1651,5.0
7,48.0,45.0,11.0,0.1615,5.0
8,48.0,45.0,30.0,0.1632,5.0
9,33.0,46.0,31.0,0.1822,5.0
10,33.0,46.0,31.0,0.1822,5.0
11,41.0,45.0,4.0,0.1752,5.0
12,37.0,50.0,4.0,0.18,5.0
13,33.0,46.0,31.0,0.1822,5.0
14,48.0,45.0,43.0,0.1657,5.0
15,41.0,45.0,4.0,0.1752,5.0
16,47.0,38.0,11.0,0.1825,5.0
17,36.0,49.0,9.0,0.1826,5.0
18,34.0,43.0,31.0,0.1721,5.0
19,48.0,41.0,4.0,0.1718,5.0
20,41.0,45.0,43.0,0.184,5.0
21,47.0,38.0,11.0,0.1825,5.0
22,28.0,43.0,31.0,0.1993,5.0
23,48.0,45.0,4.0,0.1835,5.0
24,48.0,31.0,29.0,0.1881,5.0
25,37.0,33.0,40.0,0.1872,5.0
26,40.0,31.0,10.0,0.1341,5.0
27,36.0,49.0,9.0,0.1826,5.0
28,30.0,17.0,10.0,0.2115,5.0
29,48.0,31.0,29.0,0.1881,5.0
0,40.0,31.0,10.0,0.1341,6.0
