idx,params_1,params_2,params_3,fitness,gen
0,15.0,34.0,18.0,0.1215,1.0
1,23.0,50.0,5.0,0.1237,1.0
2,23.0,35.0,15.0,0.1334,1.0
3,8.0,23.0,6.0,0.1316,1.0
4,30.0,25.0,22.0,0.1365,1.0
5,21.0,24.0,46.0,0.1358,1.0
6,22.0,22.0,32.0,0.1338,1.0
7,15.0,34.0,18.0,0.1215,1.0
8,9.0,47.0,41.0,0.129,1.0
9,1.0,38.0,15.0,0.1337,1.0
10,10.0,9.0,34.0,0.1683,1.0
11,15.0,16.0,37.0,0.1309,1.0
12,21.0,24.0,46.0,0.1358,1.0
13,25.0,39.0,2.0,0.136,1.0
14,28.0,33.0,22.0,0.1274,1.0
15,25.0,47.0,41.0,0.1336,1.0
16,19.0,30.0,50.0,0.1378,1.0
17,23.0,35.0,6.0,0.1264,1.0
18,15.0,45.0,20.0,0.1408,1.0
19,30.0,48.0,46.0,0.1296,1.0
20,24.0,17.0,38.0,0.1441,1.0
21,13.0,44.0,46.0,0.1323,1.0
22,9.0,34.0,4.0,0.1333,1.0
23,10.0,26.0,8.0,0.1251,1.0
24,28.0,33.0,28.0,0.1361,1.0
25,29.0,30.0,34.0,0.1324,1.0
26,4.0,7.0,17.0,0.1949,1.0
27,23.0,50.0,5.0,0.1237,1.0
28,17.0,8.0,37.0,0.174,1.0
29,19.0,36.0,49.0,0.1334,1.0
0,15.0,34.0,18.0,0.1215,2.0
1,15.0,34.0,18.0,0.1215,2.0
2,23.0,35.0,15.0,0.1334,2.0
3,23.0,48.0,5.0,0.1191,2.0
4,30.0,25.0,22.0,0.1365,2.0
5,23.0,26.0,8.0,0.1336,2.0
6,28.0,33.0,22.0,0.1274,2.0
7,15.0,34.0,18.0,0.1215,2.0
8,9.0,47.0,41.0,0.129,2.0
9,1.0,38.0,15.0,0.1337,2.0
10,8.0,23.0,46.0,0.1433,2.0
11,15.0,16.0,37.0,0.1309,2.0
12,29.0,30.0,34.0,0.1324,2.0
13,25.0,39.0,2.0,0.136,2.0
14,28.0,33.0,22.0,0.1274,2.0
15,19.0,36.0,49.0,0.1334,2.0
16,25.0,47.0,41.0,0.1336,2.0
17,1.0,25.0,15.0,0.1214,2.0
18,15.0,45.0,20.0,0.1408,2.0
19,30.0,48.0,46.0,0.1296,2.0
20,21.0,46.0,41.0,0.136,2.0
21,13.0,44.0,46.0,0.1323,2.0
22,9.0,34.0,4.0,0.1333,2.0
23,10.0,26.0,8.0,0.1251,2.0
24,28.0,33.0,50.0,0.133,2.0
25,29.0,30.0,34.0,0.1324,2.0
26,24.0,17.0,38.0,0.1441,2.0
27,23.0,50.0,5.0,0.1237,2.0
28,17.0,8.0,37.0,0.174,2.0
29,19.0,36.0,49.0,0.1334,2.0
0,23.0,48.0,5.0,0.1191,3.0
1,15.0,34.0,18.0,0.1215,3.0
2,15.0,34.0,18.0,0.1215,3.0
3,23.0,48.0,5.0,0.1191,3.0
4,15.0,29.0,5.0,0.1319,3.0
5,1.0,30.0,18.0,0.1306,3.0
6,10.0,26.0,8.0,0.1251,3.0
7,15.0,34.0,18.0,0.1215,3.0
8,9.0,47.0,41.0,0.129,3.0
9,9.0,47.0,22.0,0.1245,3.0
10,30.0,48.0,46.0,0.1296,3.0
11,15.0,16.0,37.0,0.1309,3.0
12,29.0,30.0,34.0,0.1324,3.0
13,3.0,45.0,46.0,0.1322,3.0
14,28.0,33.0,22.0,0.1274,3.0
15,19.0,36.0,49.0,0.1334,3.0
16,25.0,47.0,41.0,0.1336,3.0
17,1.0,25.0,15.0,0.1214,3.0
18,15.0,45.0,20.0,0.1408,3.0
19,30.0,48.0,46.0,0.1296,3.0
20,23.0,26.0,8.0,0.1336,3.0
21,13.0,44.0,46.0,0.1323,3.0
22,9.0,34.0,4.0,0.1333,3.0
23,10.0,26.0,8.0,0.1251,3.0
24,28.0,33.0,50.0,0.133,3.0
25,29.0,30.0,34.0,0.1324,3.0
26,15.0,23.0,46.0,0.1431,3.0
27,23.0,50.0,5.0,0.1237,3.0
28,24.0,17.0,38.0,0.1441,3.0
29,19.0,36.0,49.0,0.1334,3.0
0,23.0,48.0,5.0,0.1191,4.0
1,23.0,48.0,5.0,0.1191,4.0
2,15.0,34.0,18.0,0.1215,4.0
3,23.0,48.0,5.0,0.1191,4.0
4,15.0,34.0,18.0,0.1215,4.0
5,15.0,34.0,18.0,0.1215,4.0
6,10.0,26.0,8.0,0.1251,4.0
7,15.0,34.0,18.0,0.1215,4.0
8,10.0,26.0,8.0,0.1251,4.0
9,9.0,47.0,22.0,0.1245,4.0
10,30.0,48.0,46.0,0.1296,4.0
11,9.0,33.0,22.0,0.1251,4.0
12,30.0,48.0,46.0,0.1296,4.0
13,30.0,48.0,46.0,0.1296,4.0
14,28.0,33.0,22.0,0.1274,4.0
15,15.0,30.0,18.0,0.1297,4.0
16,15.0,29.0,5.0,0.1319,4.0
17,1.0,25.0,15.0,0.1214,4.0
18,13.0,44.0,34.0,0.1352,4.0
19,30.0,48.0,46.0,0.1296,4.0
20,29.0,33.0,40.0,0.1322,4.0
21,28.0,30.0,34.0,0.1298,4.0
22,9.0,34.0,49.0,0.1281,4.0
23,10.0,26.0,8.0,0.1251,4.0
24,28.0,33.0,50.0,0.133,4.0
25,29.0,30.0,34.0,0.1324,4.0
26,21.0,26.0,8.0,0.1359,4.0
27,23.0,50.0,5.0,0.1237,4.0
28,15.0,23.0,38.0,0.1398,4.0
29,24.0,17.0,46.0,0.1287,4.0
0,23.0,48.0,5.0,0.1191,5.0
1,23.0,48.0,5.0,0.1191,5.0
2,15.0,34.0,18.0,0.1215,5.0
3,23.0,48.0,5.0,0.1191,5.0
4,15.0,34.0,18.0,0.1215,5.0
5,15.0,34.0,18.0,0.1215,5.0
6,15.0,34.0,18.0,0.1215,5.0
7,15.0,34.0,18.0,0.1215,5.0
8,10.0,26.0,8.0,0.1251,5.0
9,8.0,50.0,41.0,0.1239,5.0
10,30.0,48.0,46.0,0.1296,5.0
11,9.0,33.0,22.0,0.1251,5.0
12,9.0,33.0,22.0,0.1251,5.0
13,10.0,26.0,8.0,0.1251,5.0
14,28.0,33.0,22.0,0.1274,5.0
15,9.0,34.0,49.0,0.1281,5.0
16,24.0,17.0,46.0,0.1287,5.0
17,1.0,25.0,15.0,0.1214,5.0
18,30.0,48.0,46.0,0.1296,5.0
19,30.0,48.0,46.0,0.1296,5.0
20,29.0,33.0,40.0,0.1322,5.0
21,28.0,30.0,34.0,0.1298,5.0
22,9.0,34.0,49.0,0.1281,5.0
23,10.0,26.0,8.0,0.1251,5.0
24,29.0,38.0,47.0,0.1311,5.0
25,29.0,30.0,40.0,0.1277,5.0
26,30.0,33.0,34.0,0.1356,5.0
27,23.0,50.0,5.0,0.1237,5.0
28,21.0,26.0,38.0,0.1324,5.0
29,24.0,17.0,46.0,0.1287,5.0
0,23.0,48.0,5.0,0.1191,6.0
