idx,params_1,params_2,params_3,fitness,gen
0,18.0,42.0,3.0,0.1215,1.0
1,3.0,30.0,9.0,0.1224,1.0
2,29.0,22.0,43.0,0.1437,1.0
3,17.0,27.0,5.0,0.1385,1.0
4,7.0,18.0,49.0,0.1495,1.0
5,17.0,27.0,43.0,0.1275,1.0
6,24.0,26.0,40.0,0.1295,1.0
7,7.0,42.0,34.0,0.1303,1.0
8,6.0,34.0,13.0,0.1301,1.0
9,27.0,12.0,24.0,0.1412,1.0
10,3.0,45.0,30.0,0.1286,1.0
11,7.0,31.0,9.0,0.1282,1.0
12,30.0,29.0,23.0,0.138,1.0
13,15.0,44.0,50.0,0.1452,1.0
14,16.0,29.0,12.0,0.1306,1.0
15,11.0,18.0,49.0,0.1291,1.0
16,17.0,45.0,30.0,0.1332,1.0
17,2.0,45.0,2.0,0.1279,1.0
18,11.0,41.0,21.0,0.1353,1.0
19,29.0,37.0,5.0,0.1249,1.0
20,18.0,42.0,3.0,0.1215,1.0
21,11.0,41.0,19.0,0.1394,1.0
22,10.0,13.0,23.0,0.1574,1.0
23,5.0,14.0,27.0,0.1465,1.0
24,22.0,44.0,50.0,0.1354,1.0
25,25.0,49.0,21.0,0.1396,1.0
26,7.0,42.0,34.0,0.1303,1.0
27,12.0,7.0,46.0,0.1727,1.0
28,3.0,30.0,9.0,0.1224,1.0
29,16.0,22.0,36.0,0.1363,1.0
0,18.0,42.0,3.0,0.1215,2.0
1,18.0,42.0,3.0,0.1215,2.0
2,3.0,30.0,9.0,0.1224,2.0
3,3.0,30.0,9.0,0.1224,2.0
4,29.0,29.0,43.0,0.1292,2.0
5,17.0,37.0,5.0,0.1255,2.0
6,24.0,26.0,40.0,0.1295,2.0
7,7.0,45.0,2.0,0.1301,2.0
8,6.0,34.0,13.0,0.1301,2.0
9,27.0,12.0,24.0,0.1412,2.0
10,24.0,26.0,13.0,0.128,2.0
11,7.0,31.0,9.0,0.1282,2.0
12,7.0,42.0,34.0,0.1303,2.0
13,7.0,42.0,34.0,0.1303,2.0
14,16.0,29.0,12.0,0.1306,2.0
15,11.0,18.0,49.0,0.1291,2.0
16,11.0,44.0,50.0,0.1232,2.0
17,22.0,41.0,21.0,0.125,2.0
18,11.0,41.0,21.0,0.1353,2.0
19,29.0,37.0,5.0,0.1249,2.0
20,18.0,42.0,3.0,0.1215,2.0
21,11.0,31.0,19.0,0.1301,2.0
22,25.0,12.0,24.0,0.15,2.0
23,27.0,49.0,21.0,0.1279,2.0
24,22.0,44.0,50.0,0.1354,2.0
25,25.0,49.0,21.0,0.1396,2.0
26,7.0,42.0,34.0,0.1303,2.0
27,7.0,14.0,27.0,0.1434,2.0
28,3.0,30.0,9.0,0.1224,2.0
29,16.0,22.0,36.0,0.1363,2.0
0,18.0,42.0,3.0,0.1215,3.0
1,18.0,42.0,3.0,0.1215,3.0
2,3.0,30.0,9.0,0.1224,3.0
3,3.0,30.0,9.0,0.1224,3.0
4,3.0,30.0,9.0,0.1224,3.0
5,3.0,30.0,9.0,0.1224,3.0
6,24.0,26.0,40.0,0.1295,3.0
7,7.0,45.0,2.0,0.1301,3.0
8,6.0,34.0,13.0,0.1301,3.0
9,27.0,12.0,24.0,0.1412,3.0
10,24.0,26.0,13.0,0.128,3.0
11,24.0,26.0,13.0,0.128,3.0
12,7.0,42.0,34.0,0.1303,3.0
13,7.0,42.0,34.0,0.1303,3.0
14,16.0,29.0,12.0,0.1306,3.0
15,11.0,18.0,49.0,0.1291,3.0
16,11.0,44.0,50.0,0.1232,3.0
17,22.0,41.0,21.0,0.125,3.0
18,11.0,41.0,21.0,0.1353,3.0
19,29.0,37.0,5.0,0.1249,3.0
20,18.0,42.0,3.0,0.1215,3.0
21,11.0,31.0,19.0,0.1301,3.0
22,16.0,23.0,12.0,0.1365,3.0
23,27.0,49.0,21.0,0.1279,3.0
24,22.0,44.0,50.0,0.1354,3.0
25,9.0,25.0,36.0,0.1352,3.0
26,30.0,49.0,21.0,0.1278,3.0
27,27.0,12.0,24.0,0.1412,3.0
28,3.0,30.0,9.0,0.1224,3.0
29,16.0,22.0,36.0,0.1363,3.0
0,18.0,42.0,3.0,0.1215,4.0
1,18.0,42.0,3.0,0.1215,4.0
2,3.0,30.0,9.0,0.1224,4.0
3,3.0,30.0,9.0,0.1224,4.0
4,3.0,30.0,9.0,0.1224,4.0
5,3.0,30.0,9.0,0.1224,4.0
6,3.0,30.0,9.0,0.1224,4.0
7,3.0,30.0,9.0,0.1224,4.0
8,6.0,34.0,13.0,0.1301,4.0
9,27.0,12.0,24.0,0.1412,4.0
10,24.0,26.0,13.0,0.128,4.0
11,24.0,26.0,13.0,0.128,4.0
12,27.0,49.0,21.0,0.1279,4.0
13,24.0,26.0,13.0,0.128,4.0
14,16.0,29.0,12.0,0.1306,4.0
15,11.0,18.0,49.0,0.1291,4.0
16,11.0,44.0,50.0,0.1232,4.0
17,22.0,41.0,21.0,0.125,4.0
18,6.0,34.0,13.0,0.1301,4.0
19,29.0,37.0,5.0,0.1249,4.0
20,18.0,42.0,3.0,0.1215,4.0
21,11.0,31.0,19.0,0.1301,4.0
22,16.0,29.0,36.0,0.1329,4.0
23,27.0,49.0,21.0,0.1279,4.0
24,11.0,41.0,50.0,0.1275,4.0
25,22.0,44.0,21.0,0.1204,4.0
26,6.0,24.0,36.0,0.1264,4.0
27,3.0,23.0,12.0,0.1312,4.0
28,3.0,30.0,9.0,0.1224,4.0
29,16.0,22.0,36.0,0.1363,4.0
0,22.0,44.0,21.0,0.1204,5.0
1,18.0,42.0,3.0,0.1215,5.0
2,18.0,42.0,3.0,0.1215,5.0
3,18.0,42.0,3.0,0.1215,5.0
4,3.0,30.0,9.0,0.1224,5.0
5,3.0,30.0,9.0,0.1224,5.0
6,3.0,30.0,9.0,0.1224,5.0
7,3.0,30.0,9.0,0.1224,5.0
8,3.0,30.0,9.0,0.1224,5.0
9,3.0,30.0,9.0,0.1224,5.0
10,24.0,26.0,13.0,0.128,5.0
11,24.0,26.0,13.0,0.128,5.0
12,29.0,37.0,5.0,0.1249,5.0
13,22.0,41.0,21.0,0.125,5.0
14,6.0,24.0,36.0,0.1264,5.0
15,11.0,41.0,50.0,0.1275,5.0
16,11.0,44.0,50.0,0.1232,5.0
17,22.0,41.0,21.0,0.125,5.0
18,24.0,26.0,13.0,0.128,5.0
19,29.0,37.0,5.0,0.1249,5.0
20,18.0,42.0,3.0,0.1215,5.0
21,11.0,31.0,19.0,0.1301,5.0
22,16.0,29.0,36.0,0.1329,5.0
23,27.0,49.0,21.0,0.1279,5.0
24,11.0,41.0,50.0,0.1275,5.0
25,22.0,44.0,21.0,0.1204,5.0
26,6.0,24.0,36.0,0.1264,5.0
27,16.0,29.0,12.0,0.1306,5.0
28,3.0,30.0,9.0,0.1224,5.0
29,16.0,22.0,36.0,0.1363,5.0
0,22.0,44.0,21.0,0.1204,6.0
1,22.0,44.0,21.0,0.1204,6.0
2,18.0,42.0,3.0,0.1215,6.0
3,18.0,42.0,3.0,0.1215,6.0
4,18.0,42.0,3.0,0.1215,6.0
5,18.0,42.0,3.0,0.1215,6.0
6,3.0,30.0,9.0,0.1224,6.0
7,3.0,30.0,9.0,0.1224,6.0
8,3.0,30.0,9.0,0.1224,6.0
9,3.0,30.0,9.0,0.1224,6.0
10,24.0,26.0,13.0,0.128,6.0
11,3.0,30.0,9.0,0.1224,6.0
12,3.0,30.0,9.0,0.1224,6.0
13,11.0,44.0,50.0,0.1232,6.0
14,6.0,24.0,36.0,0.1264,6.0
15,29.0,37.0,5.0,0.1249,6.0
16,11.0,44.0,50.0,0.1232,6.0
17,22.0,41.0,21.0,0.125,6.0
18,24.0,26.0,13.0,0.128,6.0
19,29.0,37.0,5.0,0.1249,6.0
20,18.0,42.0,3.0,0.1215,6.0
21,11.0,41.0,50.0,0.1275,6.0
22,27.0,49.0,21.0,0.1279,6.0
23,27.0,49.0,21.0,0.1279,6.0
24,11.0,41.0,50.0,0.1275,6.0
25,22.0,44.0,21.0,0.1204,6.0
26,6.0,24.0,36.0,0.1264,6.0
27,16.0,29.0,12.0,0.1306,6.0
28,3.0,30.0,9.0,0.1224,6.0
29,16.0,29.0,36.0,0.1329,6.0
0,22.0,44.0,21.0,0.1204,7.0
1,22.0,44.0,21.0,0.1204,7.0
2,22.0,42.0,3.0,0.1163,7.0
3,18.0,42.0,3.0,0.1215,7.0
4,18.0,42.0,3.0,0.1215,7.0
5,18.0,42.0,3.0,0.1215,7.0
6,18.0,42.0,3.0,0.1215,7.0
7,18.0,42.0,3.0,0.1215,7.0
8,3.0,30.0,9.0,0.1224,7.0
9,3.0,30.0,9.0,0.1224,7.0
10,3.0,30.0,9.0,0.1224,7.0
11,3.0,30.0,9.0,0.1224,7.0
12,3.0,30.0,9.0,0.1224,7.0
13,3.0,30.0,9.0,0.1224,7.0
14,6.0,24.0,36.0,0.1264,7.0
15,29.0,37.0,5.0,0.1249,7.0
16,11.0,44.0,50.0,0.1232,7.0
17,29.0,37.0,5.0,0.1249,7.0
